signal_date,scan_time,rank,code,name,scan_price,scan_change_pct,scan_volume_ratio,scan_turnover_rate,scan_amplitude,scan_vol_vs_ma5,scan_ma5_dev,rule_score,rule_score_pct,adaptive_score,final_score,status,settle_time,same_day_close,same_day_return_pct,hit_limit_up,next_exit_price,next_return_pct,success,data_source,market_captured_at,enrich_score,enrich_notes
2026-04-28,2026-04-28 14:04:36,1,603221,爱丽家居,12.33,3.7,0.0,0.0,0.0,2.0,2.54,67,63,,67.0,settled,2026-04-29 13:38:23,,,0.0,12.28,-0.4055150040551569,0.0,,,,
2026-04-28,2026-04-28 14:04:36,2,603798,康普顿,19.0,4.28,0.0,0.0,0.0,1.62,3.33,63,60,,63.0,settled,2026-04-29 13:38:23,,,0.0,19.07,0.3684210526315734,0.0,,,,
2026-04-28,2026-04-28 14:04:36,3,002833,弘亚数控,20.24,4.65,0.0,0.0,0.0,1.68,4.31,63,60,,63.0,settled,2026-04-29 13:38:23,,,0.0,20.25,0.0494071146245111,0.0,,,,
2026-04-28,2026-04-28 14:04:36,4,603170,宝立食品,13.87,2.36,0.0,0.0,0.0,3.32,1.93,61,58,,61.0,settled,2026-04-29 13:38:23,,,0.0,13.85,-0.1441961067051189,0.0,,,,
2026-04-28,2026-04-28 14:04:36,5,002963,豪尔赛,16.74,6.15,0.0,0.0,0.0,1.67,4.11,61,58,,61.0,settled,2026-04-29 13:38:23,,,0.0,16.77,0.1792114695340574,0.0,,,,
2026-04-28,2026-04-28 14:04:36,6,600830,香溢融通,10.07,5.56,0.0,0.0,0.0,4.65,10.12,60,57,,60.0,settled,2026-04-29 13:38:23,10.08,0.0993048659384321,0.0,10.06,-0.0993048659384321,0.0,,,,
2026-04-28,2026-04-28 14:04:36,7,603125,常青科技,22.56,5.03,0.0,0.0,0.0,4.01,11.83,60,57,,60.0,settled,2026-04-29 13:38:23,22.54,-0.0886524822695022,0.0,22.45,-0.4875886524822626,0.0,,,,
2026-04-28,2026-04-28 14:04:36,8,000809,和展能源,3.84,3.78,0.0,0.0,0.0,2.34,2.89,60,57,,60.0,settled,2026-04-29 13:38:23,,,0.0,3.85,0.260416666666674,0.0,,,,
2026-04-28,2026-04-28 14:04:36,9,605118,力鼎光电,48.5,2.41,0.0,0.0,0.0,2.12,5.72,60,57,,60.0,settled,2026-04-29 13:38:23,48.49,-0.0206185567010241,0.0,49.11,1.2577319587628866,1.0,,,,
2026-04-28,2026-04-28 14:04:36,10,002092,中泰化学,6.98,3.71,0.0,0.0,0.0,1.7,5.85,58,55,,58.0,settled,2026-04-29 13:38:23,,,0.0,6.99,0.1432664756446877,0.0,,,,
2026-04-28,2026-04-28 14:04:36,11,001259,利仁科技,33.29,2.75,0.0,0.0,0.0,2.18,1.77,58,55,,58.0,settled,2026-04-29 13:38:23,,,0.0,33.39,0.3003905076599533,0.0,,,,
