代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct
600148,长春一东,19.0,6.2,5.51,5.86,6.26,82923,15753.6,4.36,5.58,105,100
002748,世龙实业,13.15,6.39,4.59,6.4,8.5,153635,19803.9,5.78,4.58,105,100
603600,永艺股份,11.81,6.78,6.37,8.56,5.52,256793,30273.5,4.42,6.26,105,100
002216,三全食品,14.43,5.95,3.24,4.06,6.9,256202,36637.8,6.54,3.13,102,97
603109,神驰机电,24.98,4.87,3.93,8.31,9.74,173543,44320.5,2.58,4.58,101,96
002442,龙星科技,6.2,6.16,3.9,7.75,12.33,381869,23499.9,5.62,3.69,100,95
002861,瀛通通讯,16.37,6.85,3.38,7.87,8.81,118162,18979.5,4.21,3.47,100,95
605151,西上海,20.61,3.93,4.05,4.69,8.93,63091,12898.9,3.52,4.08,100,95
002566,益盛药业,8.17,6.1,3.38,8.38,6.23,194243,15820.7,5.39,3.87,100,95
002612,朗姿股份,17.55,5.98,4.16,6.99,3.86,177918,31356.4,4.12,3.98,100,95
600351,亚宝药业,6.79,5.76,3.27,6.16,6.39,426129,28596.1,3.92,3.52,100,95
002266,浙富控股,4.79,6.44,2.83,3.5,5.11,1713200,81064.8,4.68,2.95,99,94
002340,格林美,8.92,5.81,2.25,6.84,5.1,3474253,305082.3,4.4,2.16,99,94
605589,圣泉集团,39.7,4.34,2.01,9.71,12.54,819026,319285.3,4.09,2.05,99,94
002856,美芝股份,13.12,5.13,2.28,12.8,13.38,158537,20777.1,5.98,2.22,99,94
002402,和而泰,32.96,4.63,2.3,7.79,6.32,633932,207983.6,2.97,2.24,99,94
605089,味知香,28.38,2.68,3.43,5.33,5.28,73583,20728.7,3.5,3.5,98,93
002587,奥拓电子,6.64,6.41,4.25,11.53,6.09,613990,41011.3,3.36,4.18,98,93
002480,新筑股份,6.73,7.85,2.9,5.19,9.29,398105,25954.6,5.98,2.77,97,92
000589,贵州轮胎,4.79,5.04,3.6,4.28,3.73,661927,31537.6,3.55,3.4,97,92
