代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,adaptive_score,final_score
603221,爱丽家居,12.33,3.7,0.0,0.0,0.0,9140887,11255.7,2.54,2.0,67,63,,67.0
603798,康普顿,19.0,4.28,0.0,0.0,0.0,9373050,17634.3,3.33,1.62,63,60,,63.0
002833,弘亚数控,20.24,4.65,0.0,0.0,0.0,14253660,28854.5,4.31,1.68,63,60,,63.0
603170,宝立食品,13.87,2.36,0.0,0.0,0.0,6900673,9581.4,1.93,3.32,61,58,,61.0
002963,豪尔赛,16.74,6.15,0.0,0.0,0.0,7883100,12934.5,4.11,1.67,61,58,,61.0
600830,香溢融通,10.07,5.56,0.0,0.0,0.0,39876231,39539.9,10.12,4.65,60,57,,60.0
603125,常青科技,22.56,5.03,0.0,0.0,0.0,22131311,49317.0,11.83,4.01,60,57,,60.0
000809,和展能源,3.84,3.78,0.0,0.0,0.0,37388000,14481.4,2.89,2.34,60,57,,60.0
605118,力鼎光电,48.5,2.41,0.0,0.0,0.0,8701198,42410.9,5.72,2.12,60,57,,60.0
002092,中泰化学,6.98,3.71,0.0,0.0,0.0,85058731,58723.3,5.85,1.7,58,55,,58.0
001259,利仁科技,33.29,2.75,0.0,0.0,0.0,2300000,7603.2,1.77,2.18,58,55,,58.0
603682,锦和商管,8.34,6.24,0.0,0.0,0.0,33732200,27511.0,7.71,2.8,57,54,,57.0
600535,天士力,15.09,0.73,0.0,0.0,0.0,16099307,24329.4,4.09,3.71,57,54,,57.0
605089,味知香,28.87,1.73,0.0,0.0,0.0,6964432,20050.8,3.5,3.5,57,54,,57.0
002216,三全食品,14.62,1.32,0.0,0.0,0.0,14760279,21572.3,6.54,3.13,57,54,,57.0
603353,和顺石油,39.74,6.23,0.0,0.0,0.0,12923600,50328.5,1.37,1.53,56,53,,56.0
000523,红棉股份,3.38,3.68,0.0,0.0,0.0,50515754,17246.8,0.87,1.87,56,53,,56.0
605266,健之佳,19.79,3.56,0.0,0.0,0.0,4264128,8506.5,1.28,1.81,56,53,,56.0
601918,新集能源,8.67,2.73,0.0,0.0,0.0,57888340,49405.6,5.18,1.62,56,53,,56.0
605268,王力安防,14.05,5.24,0.0,0.0,0.0,23367441,32131.0,2.14,1.5,55,52,,55.0
