代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score
603221,爱丽家居,12.35,3.87,0.0,0.0,0.0,9681587,11925.2,2.54,2.0,67,63,新浪,2026-04-28 14:14:28,,67.0
002833,弘亚数控,20.24,4.65,0.0,0.0,0.0,14657860,29672.9,4.31,1.68,63,60,新浪,2026-04-28 14:14:28,,63.0
603798,康普顿,19.07,4.67,0.0,0.0,0.0,9647870,18157.5,3.33,1.62,63,60,新浪,2026-04-28 14:14:28,,63.0
605089,味知香,28.97,2.08,0.0,0.0,0.0,7143516,20568.7,3.5,3.5,63,60,新浪,2026-04-28 14:14:28,,63.0
002963,豪尔赛,16.81,6.59,0.0,0.0,0.0,8037000,13193.0,4.11,1.67,61,58,新浪,2026-04-28 14:14:28,,61.0
603170,宝立食品,13.86,2.29,0.0,0.0,0.0,7052973,9792.6,1.93,3.32,61,58,新浪,2026-04-28 14:14:28,,61.0
000809,和展能源,3.85,4.05,0.0,0.0,0.0,38113500,14761.0,2.89,2.34,60,57,新浪,2026-04-28 14:14:28,,60.0
600830,香溢融通,10.06,5.45,0.0,0.0,0.0,40245731,39911.5,10.12,4.65,60,57,新浪,2026-04-28 14:14:28,,60.0
605118,力鼎光电,48.48,2.37,0.0,0.0,0.0,8899098,43370.2,5.72,2.12,60,57,新浪,2026-04-28 14:14:28,,60.0
603125,常青科技,22.47,4.61,0.0,0.0,0.0,22320087,49742.2,11.83,4.01,60,57,新浪,2026-04-28 14:14:28,,60.0
002092,中泰化学,7.01,4.16,0.0,0.0,0.0,89857225,62084.9,5.85,1.7,58,55,新浪,2026-04-28 14:14:28,,58.0
001259,利仁科技,33.44,3.21,0.0,0.0,0.0,2370300,7837.6,1.77,2.18,58,55,新浪,2026-04-28 14:14:28,,58.0
002216,三全食品,14.67,1.66,0.0,0.0,0.0,15156999,22153.4,6.54,3.13,57,54,新浪,2026-04-28 14:14:28,,57.0
603682,锦和商管,8.34,6.24,0.0,0.0,0.0,34557300,28197.8,7.71,2.8,57,54,新浪,2026-04-28 14:14:28,,57.0
605266,健之佳,19.87,3.98,0.0,0.0,0.0,4382778,8741.7,1.28,1.81,56,53,新浪,2026-04-28 14:14:28,,56.0
603353,和顺石油,39.91,6.68,0.0,0.0,0.0,13333100,51957.6,1.37,1.53,56,53,新浪,2026-04-28 14:14:28,,56.0
603320,迪贝电气,25.23,2.64,0.0,0.0,0.0,8033798,19964.6,3.43,1.54,56,53,新浪,2026-04-28 14:14:28,,56.0
601918,新集能源,8.73,3.44,0.0,0.0,0.0,63325540,54145.6,5.18,1.62,56,53,新浪,2026-04-28 14:14:28,,56.0
000523,红棉股份,3.42,4.91,0.0,0.0,0.0,53330334,18204.1,0.87,1.87,56,53,新浪,2026-04-28 14:14:28,,56.0
000066,中国长城,17.79,6.08,0.0,0.0,0.0,386460957,683515.5,4.25,1.42,55,52,新浪,2026-04-28 14:14:28,,55.0
