代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
605089,味知香,29.25,3.07,0.0,0.0,0.0,7364092,21209.1,3.5,3.5,63,60,新浪,2026-04-28 14:23:18,,83.0,20.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘占优92%、腾讯尾段成交放大
605118,力鼎光电,49.11,3.69,0.0,0.0,0.0,9150398,44591.3,5.72,2.12,67,63,新浪,2026-04-28 14:23:18,,80.0,13.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘偏强62%
603125,常青科技,22.45,4.52,0.0,0.0,0.0,22576167,50317.7,11.83,4.01,60,57,新浪,2026-04-28 14:23:18,,80.0,20.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘占优64%、腾讯尾段成交放大
000809,和展能源,3.85,4.05,0.0,0.0,0.0,38437400,14885.7,2.89,2.34,60,57,新浪,2026-04-28 14:23:18,,76.0,16.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘占优65%
603798,康普顿,19.07,4.67,0.0,0.0,0.0,9896370,18631.7,3.33,1.62,63,60,新浪,2026-04-28 14:23:18,,76.0,13.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘偏强57%
002963,豪尔赛,16.77,6.34,0.0,0.0,0.0,8166800,13410.7,4.11,1.67,61,58,新浪,2026-04-28 14:23:18,,74.0,13.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘偏强55%
603110,东方材料,21.01,6.87,0.0,0.0,0.0,53119226,113291.5,11.02,3.64,60,57,新浪,2026-04-28 14:23:18,,74.0,14.0,同花顺量价齐升、同花顺突破5日线、腾讯尾段成交放大
603170,宝立食品,13.85,2.21,0.0,0.0,0.0,7168773,9953.1,1.93,3.32,61,58,新浪,2026-04-28 14:23:18,,71.0,10.0,同花顺量价齐升、同花顺突破5日线
002774,快意电梯,12.66,3.52,0.0,0.0,0.0,19075800,23181.9,4.09,1.33,55,52,新浪,2026-04-28 14:23:18,,71.0,16.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘占优63%
002216,三全食品,14.64,1.46,0.0,0.0,0.0,15562599,22747.9,6.54,3.13,57,54,新浪,2026-04-28 14:23:18,,70.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
600830,香溢融通,10.06,5.45,0.0,0.0,0.0,41086431,40755.6,10.12,4.65,60,57,新浪,2026-04-28 14:23:18,,70.0,10.0,同花顺量价齐升、同花顺突破5日线
002092,中泰化学,6.99,3.86,0.0,0.0,0.0,92007025,63590.4,5.85,1.7,58,55,新浪,2026-04-28 14:23:18,,69.0,11.0,同花顺连续上涨、同花顺突破5日线、腾讯尾段成交放大
605266,健之佳,19.89,4.08,0.0,0.0,0.0,4488678,8952.1,1.28,1.81,56,53,新浪,2026-04-28 14:23:18,,69.0,13.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘偏强57%
601918,新集能源,8.73,3.44,0.0,0.0,0.0,66975640,57336.3,5.18,1.62,56,53,新浪,2026-04-28 14:23:18,,69.0,13.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘偏强61%
000523,红棉股份,3.41,4.6,0.0,0.0,0.0,54305534,18536.7,0.87,1.87,56,53,新浪,2026-04-28 14:23:18,,69.0,13.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘偏强56%
601699,潞安环能,15.87,6.15,0.0,0.0,0.0,46454921,72515.5,4.62,1.22,55,52,新浪,2026-04-28 14:23:18,,68.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
001259,利仁科技,33.39,3.06,0.0,0.0,0.0,2466200,8157.9,1.77,2.18,58,55,新浪,2026-04-28 14:23:18,,68.0,10.0,同花顺量价齐升、同花顺突破5日线
601218,吉鑫科技,6.75,4.01,0.0,0.0,0.0,106582610,70709.2,2.89,1.4,55,52,新浪,2026-04-28 14:23:18,,68.0,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
603682,锦和商管,8.33,6.12,0.0,0.0,0.0,35535400,29016.8,7.71,2.8,57,54,新浪,2026-04-28 14:23:18,,67.0,10.0,同花顺量价齐升、同花顺突破5日线
002833,弘亚数控,20.25,4.71,0.0,0.0,0.0,14984188,30333.7,4.31,1.68,63,60,新浪,2026-04-28 14:23:18,,67.0,4.0,同花顺突破5日线
