代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct
600148,长春一东,19.0,6.2,5.51,5.86,6.26,82923,15753.6,4.36,5.58,105,100
002748,世龙实业,13.15,6.39,4.59,6.4,8.5,153635,19803.9,5.78,4.58,105,100
603600,永艺股份,11.81,6.78,6.37,8.56,5.52,256793,30273.5,4.42,6.26,105,100
002216,三全食品,14.43,5.95,3.24,4.06,6.9,256202,36637.8,6.54,3.13,102,97
603109,神驰机电,24.98,4.87,3.93,8.31,9.74,173543,44320.5,2.58,4.58,101,96
002442,龙星科技,6.2,6.16,3.9,7.75,12.33,381869,23499.9,5.62,3.69,100,95
002861,瀛通通讯,16.37,6.85,3.38,7.87,8.81,118162,18979.5,4.21,3.47,100,95
605151,西上海,20.61,3.93,4.05,4.69,8.93,63091,12898.9,3.52,4.08,100,95
002566,益盛药业,8.17,6.1,3.38,8.38,6.23,194243,15820.7,5.39,3.87,100,95
002612,朗姿股份,17.55,5.98,4.16,6.99,3.86,177918,31356.4,4.12,3.98,100,95
600351,亚宝药业,6.79,5.76,3.27,6.16,6.39,426129,28596.1,3.92,3.52,100,95
002266,浙富控股,4.79,6.44,2.83,3.5,5.11,1713200,81064.8,4.68,2.95,99,94
002340,格林美,8.92,5.81,2.25,6.84,5.1,3474253,305082.3,4.4,2.16,99,94
605589,圣泉集团,39.7,4.34,2.01,9.71,12.54,819026,319285.3,4.09,2.05,99,94
002856,美芝股份,13.12,5.13,2.28,12.8,13.38,158537,20777.1,5.98,2.22,99,94
002402,和而泰,32.96,4.63,2.3,7.79,6.32,633932,207983.6,2.97,2.24,99,94
605089,味知香,28.38,2.68,3.43,5.33,5.28,73583,20728.7,3.5,3.5,98,93
002587,奥拓电子,6.64,6.41,4.25,11.53,6.09,613990,41011.3,3.36,4.18,98,93
002480,新筑股份,6.73,7.85,2.9,5.19,9.29,398105,25954.6,5.98,2.77,97,92
000589,贵州轮胎,4.79,5.04,3.6,4.28,3.73,661927,31537.6,3.55,3.4,97,92
002045,国光电器,11.76,6.91,3.1,8.68,12.36,487755,57221.2,3.19,2.83,97,92
603488,展鹏科技,11.48,6.79,2.34,6.45,10.51,188328,21375.6,2.89,2.22,97,92
603995,甬金股份,19.52,5.4,3.33,3.4,3.46,124387,24158.7,5.22,3.37,97,92
000629,钒钛股份,3.74,7.16,3.14,3.27,7.74,3039537,113498.2,5.89,3.17,97,92
603806,福斯特,18.9,6.48,2.39,3.73,8.0,972046,183895.9,5.09,2.39,96,91
603790,雅运股份,24.24,3.81,2.41,3.78,6.94,72318,17188.5,3.27,2.57,96,91
600865,百大集团,11.64,5.91,2.66,6.04,9.01,227388,26281.6,2.59,2.4,95,90
002425,凯撒文化,3.43,7.52,5.39,7.27,5.96,669181,23034.1,5.6,5.32,95,90
603680,今创集团,14.51,3.42,4.55,3.25,7.34,254479,37670.2,7.23,4.44,95,90
002855,捷荣技术,12.44,7.71,3.64,5.02,9.0,123574,15091.6,6.03,3.59,95,90
603205,健尔康,27.52,3.15,2.93,7.22,4.76,29860,8174.9,4.68,2.71,95,90
002795,永和智控,9.09,2.6,2.68,12.68,7.0,550920,49373.3,6.59,2.86,95,90
001256,炜冈科技,24.99,6.02,2.66,4.56,9.72,48743,12082.8,4.21,2.67,94,89
002615,哈尔斯,8.2,5.67,2.29,6.35,8.63,194190,15535.5,4.01,2.46,94,89
002516,旷达科技,6.04,5.96,2.92,2.35,4.39,341814,20615.6,3.89,2.88,93,88
001226,拓山重工,46.47,3.61,1.96,5.79,6.53,19654,9086.5,2.16,2.04,93,88
603327,福蓉科技,10.74,6.87,1.72,5.91,6.37,618131,66023.9,2.95,2.01,93,88
002248,华东数控,12.7,6.45,2.31,9.94,10.14,305702,38681.9,3.32,2.7,92,87
603817,海峡环保,7.32,4.87,2.7,4.55,5.87,259540,18866.2,2.95,2.84,92,87
603666,亿嘉和,29.15,5.05,2.06,3.66,5.62,75170,21769.4,6.26,1.93,92,87
603988,中电电机,26.21,5.64,2.12,5.82,11.93,136821,34743.1,3.83,2.15,92,87
002712,思美传媒,5.58,2.01,2.44,8.53,4.94,461258,25437.3,5.12,2.19,92,87
001215,千味央厨,46.0,6.7,3.01,12.82,8.68,124275,56008.5,8.7,2.74,92,87
603006,联明股份,13.93,2.13,2.6,3.75,3.96,95336,13202.8,5.05,2.38,92,87
