代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,adaptive_score,final_score
603600,永艺股份,11.81,6.78,6.37,8.56,5.52,256793,30273.5,4.42,6.26,105,100,,105.0
600148,长春一东,19.0,6.2,5.51,5.86,6.26,82923,15753.6,4.36,5.58,105,100,,105.0
002748,世龙实业,13.15,6.39,4.59,6.4,8.5,153635,19803.9,5.78,4.58,105,100,,105.0
002587,奥拓电子,6.64,6.41,4.25,11.53,6.09,613990,41011.3,3.36,4.18,98,93,,98.0
002425,凯撒文化,3.43,7.52,5.39,7.27,5.96,669181,23034.1,5.6,5.32,95,90,,95.0
002862,实丰文化,19.03,9.05,3.73,10.44,5.16,131768,24755.9,7.01,3.39,80,76,,80.0
002406,远东传动,8.44,0.12,6.12,20.89,6.41,1258256,104971.0,5.76,5.57,80,76,,80.0
000782,恒申新材,6.78,9.35,2.84,14.79,11.61,781005,51993.7,7.35,3.14,75,71,,75.0
002606,大连电瓷,14.82,5.63,2.37,28.42,8.27,1196860,174967.4,11.34,2.23,74,70,,74.0
600770,综艺股份,6.96,-0.14,6.13,20.7,10.76,2690855,197473.0,9.81,5.65,70,66,,70.0
