代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score
603221,爱丽家居,12.35,3.87,0.0,0.0,0.0,9681587,11925.2,2.54,2.0,67,63,新浪,2026-04-28 14:14:28,,67.0
002833,弘亚数控,20.24,4.65,0.0,0.0,0.0,14657860,29672.9,4.31,1.68,63,60,新浪,2026-04-28 14:14:28,,63.0
603798,康普顿,19.07,4.67,0.0,0.0,0.0,9647870,18157.5,3.33,1.62,63,60,新浪,2026-04-28 14:14:28,,63.0
605089,味知香,28.97,2.08,0.0,0.0,0.0,7143516,20568.7,3.5,3.5,63,60,新浪,2026-04-28 14:14:28,,63.0
002963,豪尔赛,16.81,6.59,0.0,0.0,0.0,8037000,13193.0,4.11,1.67,61,58,新浪,2026-04-28 14:14:28,,61.0
603170,宝立食品,13.86,2.29,0.0,0.0,0.0,7052973,9792.6,1.93,3.32,61,58,新浪,2026-04-28 14:14:28,,61.0
000809,和展能源,3.85,4.05,0.0,0.0,0.0,38113500,14761.0,2.89,2.34,60,57,新浪,2026-04-28 14:14:28,,60.0
600830,香溢融通,10.06,5.45,0.0,0.0,0.0,40245731,39911.5,10.12,4.65,60,57,新浪,2026-04-28 14:14:28,,60.0
605118,力鼎光电,48.48,2.37,0.0,0.0,0.0,8899098,43370.2,5.72,2.12,60,57,新浪,2026-04-28 14:14:28,,60.0
603125,常青科技,22.47,4.61,0.0,0.0,0.0,22320087,49742.2,11.83,4.01,60,57,新浪,2026-04-28 14:14:28,,60.0
002092,中泰化学,7.01,4.16,0.0,0.0,0.0,89857225,62084.9,5.85,1.7,58,55,新浪,2026-04-28 14:14:28,,58.0
001259,利仁科技,33.44,3.21,0.0,0.0,0.0,2370300,7837.6,1.77,2.18,58,55,新浪,2026-04-28 14:14:28,,58.0
002216,三全食品,14.67,1.66,0.0,0.0,0.0,15156999,22153.4,6.54,3.13,57,54,新浪,2026-04-28 14:14:28,,57.0
603682,锦和商管,8.34,6.24,0.0,0.0,0.0,34557300,28197.8,7.71,2.8,57,54,新浪,2026-04-28 14:14:28,,57.0
605266,健之佳,19.87,3.98,0.0,0.0,0.0,4382778,8741.7,1.28,1.81,56,53,新浪,2026-04-28 14:14:28,,56.0
603353,和顺石油,39.91,6.68,0.0,0.0,0.0,13333100,51957.6,1.37,1.53,56,53,新浪,2026-04-28 14:14:28,,56.0
603320,迪贝电气,25.23,2.64,0.0,0.0,0.0,8033798,19964.6,3.43,1.54,56,53,新浪,2026-04-28 14:14:28,,56.0
601918,新集能源,8.73,3.44,0.0,0.0,0.0,63325540,54145.6,5.18,1.62,56,53,新浪,2026-04-28 14:14:28,,56.0
000523,红棉股份,3.42,4.91,0.0,0.0,0.0,53330334,18204.1,0.87,1.87,56,53,新浪,2026-04-28 14:14:28,,56.0
000066,中国长城,17.79,6.08,0.0,0.0,0.0,386460957,683515.5,4.25,1.42,55,52,新浪,2026-04-28 14:14:28,,55.0
605268,王力安防,14.01,4.94,0.0,0.0,0.0,23668141,32553.0,2.14,1.5,55,52,新浪,2026-04-28 14:14:28,,55.0
000636,风华高科,24.53,5.32,0.0,0.0,0.0,105569500,254501.2,3.19,1.37,55,52,新浪,2026-04-28 14:14:28,,55.0
603110,东方材料,21.07,7.17,0.0,0.0,0.0,52795626,112610.1,11.02,3.64,55,52,新浪,2026-04-28 14:14:28,,55.0
605151,西上海,20.86,1.21,0.0,0.0,0.0,4787600,10046.8,3.52,4.08,55,52,新浪,2026-04-28 14:14:28,,55.0
601699,潞安环能,15.89,6.29,0.0,0.0,0.0,45171421,70477.5,4.62,1.22,55,52,新浪,2026-04-28 14:14:28,,55.0
601218,吉鑫科技,6.77,4.31,0.0,0.0,0.0,103829799,68850.5,2.89,1.4,55,52,新浪,2026-04-28 14:14:28,,55.0
002319,乐通股份,11.7,5.88,0.0,0.0,0.0,14436250,16907.1,0.22,1.63,53,50,新浪,2026-04-28 14:14:28,,53.0
603706,东方环宇,21.56,4.51,0.0,0.0,0.0,3807792,8212.4,1.12,1.35,53,50,新浪,2026-04-28 14:14:28,,53.0
603768,常青股份,11.79,4.43,0.0,0.0,0.0,8094900,9612.5,1.95,1.38,53,50,新浪,2026-04-28 14:14:28,,53.0
002737,葵花药业,12.8,2.73,0.0,0.0,0.0,8001678,10159.7,1.85,2.57,53,50,新浪,2026-04-28 14:14:28,,53.0
002775,文科股份,3.91,2.62,0.0,0.0,0.0,18949150,7322.7,2.81,2.01,53,50,新浪,2026-04-28 14:14:28,,53.0
002425,凯撒文化,3.48,1.46,0.0,0.0,0.0,57730368,20311.5,5.6,5.32,52,49,新浪,2026-04-28 14:14:28,,52.0
600351,亚宝药业,6.9,1.62,0.0,0.0,0.0,36011815,24818.6,3.92,3.52,52,49,新浪,2026-04-28 14:14:28,,52.0
603327,福蓉科技,10.9,1.49,0.0,0.0,0.0,55714179,60557.0,2.95,2.01,52,49,新浪,2026-04-28 14:14:28,,52.0
000782,恒申新材,6.9,1.77,0.0,0.0,0.0,47916538,32753.0,7.35,3.14,52,49,新浪,2026-04-28 14:14:28,,52.0
000034,神州数码,38.25,3.8,0.0,0.0,0.0,43243447,165093.8,-0.43,1.24,51,48,新浪,2026-04-28 14:14:28,,51.0
002397,梦洁股份,4.67,3.78,0.0,0.0,0.0,51092045,23871.3,2.37,1.17,51,48,新浪,2026-04-28 14:14:28,,51.0
002677,浙江美大,7.99,3.9,0.0,0.0,0.0,18356120,14468.1,1.91,2.0,51,48,新浪,2026-04-28 14:14:28,,51.0
600546,山煤国际,13.52,4.89,0.0,0.0,0.0,36667004,48971.3,3.17,1.11,51,48,新浪,2026-04-28 14:14:28,,51.0
600831,广电网络,3.78,3.0,0.0,0.0,0.0,21243280,7933.4,4.86,1.53,51,48,新浪,2026-04-28 14:14:28,,51.0
601163,三角轮胎,14.58,2.17,0.0,0.0,0.0,6910451,10009.8,1.59,2.32,51,48,新浪,2026-04-28 14:14:28,,51.0
002377,国创高新,3.64,7.38,0.0,0.0,0.0,104680855,37597.9,3.42,1.79,51,48,新浪,2026-04-28 14:14:28,,51.0
600506,统一股份,22.48,5.69,0.0,0.0,0.0,13724400,30917.6,2.4,1.59,51,48,新浪,2026-04-28 14:14:28,,51.0
002655,共达电声,27.62,6.64,0.0,0.0,0.0,51681648,139932.0,4.58,1.02,51,48,新浪,2026-04-28 14:14:28,,51.0
002430,杭氧股份,33.26,6.26,0.0,0.0,0.0,40216687,129795.5,1.99,1.1,51,48,新浪,2026-04-28 14:14:28,,51.0
002587,奥拓电子,6.74,1.51,0.0,0.0,0.0,37334000,25284.5,3.36,4.18,50,47,新浪,2026-04-28 14:14:28,,50.0
600971,恒源煤电,8.21,1.23,0.0,0.0,0.0,21154898,17153.4,4.16,1.52,50,47,新浪,2026-04-28 14:14:28,,50.0
001278,一彬科技,22.5,1.44,0.0,0.0,0.0,4472787,10233.1,2.69,1.95,50,47,新浪,2026-04-28 14:14:28,,50.0
600985,淮北矿业,15.13,4.92,0.0,0.0,0.0,27320214,40583.9,2.47,1.45,50,47,新浪,2026-04-28 14:14:28,,50.0
002142,宁波银行,33.24,1.22,0.0,0.0,0.0,25900596,86033.0,1.65,2.43,50,47,新浪,2026-04-28 14:14:28,,50.0
600075,新疆天业,7.04,3.68,0.0,0.0,0.0,30750375,21397.3,5.57,1.22,50,47,新浪,2026-04-28 14:14:28,,50.0
603709,中源家居,19.17,4.7,0.0,0.0,0.0,6458144,12149.5,1.89,1.1,49,46,新浪,2026-04-28 14:14:28,,49.0
600153,建发股份,9.49,5.44,0.0,0.0,0.0,47730104,45092.7,0.94,1.1,49,46,新浪,2026-04-28 14:14:28,,49.0
002551,尚荣医疗,3.57,3.48,0.0,0.0,0.0,24455482,8716.1,1.77,1.53,49,46,新浪,2026-04-28 14:14:28,,49.0
002563,森马服饰,5.72,1.06,0.0,0.0,0.0,25521397,14495.4,3.89,2.21,49,46,新浪,2026-04-28 14:14:28,,49.0
603518,锦泓集团,9.53,3.7,0.0,0.0,0.0,17296240,16677.6,1.26,1.12,49,46,新浪,2026-04-28 14:14:28,,49.0
000912,泸天化,5.35,4.7,0.0,0.0,0.0,105671703,56161.8,1.51,1.5,48,45,新浪,2026-04-28 14:14:28,,48.0
603078,江化微,24.82,1.14,0.0,0.0,0.0,21347999,52915.3,2.23,1.52,48,45,新浪,2026-04-28 14:14:28,,48.0
000776,广发证券,21.14,6.23,0.0,0.0,0.0,149460826,315477.2,-0.85,1.46,48,45,新浪,2026-04-28 14:14:28,,48.0
003022,联泓新科,25.46,3.45,0.0,0.0,0.0,45044881,113803.8,3.33,1.28,48,45,新浪,2026-04-28 14:14:28,,48.0
002981,朝阳科技,26.31,6.65,0.0,0.0,0.0,7361346,19015.8,1.21,1.3,48,45,新浪,2026-04-28 14:14:28,,48.0
000055,方大集团,3.65,4.29,0.0,0.0,0.0,23949150,8755.2,2.22,1.41,48,45,新浪,2026-04-28 14:14:28,,48.0
002774,快意电梯,12.55,2.62,0.0,0.0,0.0,18014000,21845.8,4.09,1.33,48,45,新浪,2026-04-28 14:14:28,,48.0
002395,双象股份,19.36,2.6,0.0,0.0,0.0,16063064,30543.9,2.44,1.3,48,45,新浪,2026-04-28 14:14:28,,48.0
600057,厦门象屿,7.23,4.78,0.0,0.0,0.0,35814954,24909.4,-7.58,2.04,47,44,新浪,2026-04-28 14:14:28,,47.0
000685,中山公用,11.59,1.58,0.0,0.0,0.0,11777007,13639.7,-0.8,1.68,46,43,新浪,2026-04-28 14:14:28,,46.0
603630,拉芳家化,17.25,3.11,0.0,0.0,0.0,9083830,15731.4,1.39,1.31,46,43,新浪,2026-04-28 14:14:28,,46.0
603255,鼎际得,31.09,2.88,0.0,0.0,0.0,2384978,7343.4,2.3,1.49,46,43,新浪,2026-04-28 14:14:28,,46.0
