日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-02-26,603065,9.5,9.42,9.67,9.34,275562,260118342.0,3.42,-2.38,-0.23,14.01
2026-02-27,603065,9.4,9.35,9.41,9.27,143432,133895534.0,1.49,-0.74,-0.07,7.29
2026-03-02,603065,9.25,9.01,9.29,8.84,164063,147618259.0,4.81,-3.64,-0.34,8.34
2026-03-03,603065,8.95,8.67,9.0,8.67,118881,104838308.0,3.66,-3.77,-0.34,6.04
2026-03-04,603065,8.67,8.76,9.05,8.67,97727,85938602.0,4.38,1.04,0.09,4.97
2026-03-05,603065,9.15,9.17,9.35,8.93,191701,175167400.0,4.79,4.68,0.41,9.75
2026-03-06,603065,9.11,9.3,9.41,9.01,168647,155929146.0,4.36,1.42,0.13,8.57
2026-03-09,603065,9.22,9.19,9.26,9.1,105324,96725613.0,1.72,-1.18,-0.11,5.36
2026-03-10,603065,9.23,9.2,9.24,9.13,80880,74320078.0,1.2,0.11,0.01,4.11
2026-03-11,603065,9.2,9.04,9.2,8.99,94871,86090609.0,2.28,-1.74,-0.16,4.82
2026-03-12,603065,9.05,8.96,9.17,8.95,74677,67542788.0,2.43,-0.88,-0.08,3.8
2026-03-13,603065,8.92,8.88,9.1,8.84,61110,54893246.0,2.9,-0.89,-0.08,3.11
2026-03-16,603065,8.85,8.9,9.03,8.84,50383,44916353.0,2.14,0.23,0.02,2.56
2026-03-17,603065,8.88,8.62,8.97,8.62,59574,52231932.0,3.93,-3.15,-0.28,3.03
2026-03-18,603065,8.63,8.56,8.69,8.42,56117,47815105.0,3.13,-0.7,-0.06,2.85
2026-03-19,603065,8.49,8.28,8.59,8.27,53324,44627273.0,3.74,-3.27,-0.28,2.71
2026-03-20,603065,8.35,8.08,8.37,7.99,60223,49210586.0,4.59,-2.42,-0.2,3.06
2026-03-23,603065,7.81,7.48,7.89,7.44,80596,61997439.0,5.57,-7.43,-0.6,4.1
2026-03-24,603065,7.6,7.98,8.05,7.47,85991,66971870.0,7.75,6.68,0.5,4.37
2026-03-25,603065,8.07,8.05,8.07,7.95,46487,37273010.0,1.5,0.88,0.07,2.36
2026-03-26,603065,8.04,8.0,8.24,7.96,51026,41178733.0,3.48,-0.62,-0.05,2.59
2026-03-27,603065,7.92,8.27,8.3,7.88,59902,49019107.0,5.25,3.38,0.27,1.43
2026-03-30,603065,8.2,8.3,8.35,8.19,47518,39296327.0,1.93,0.36,0.03,1.13
2026-03-31,603065,8.3,8.13,8.35,8.12,40502,33355818.0,2.77,-2.05,-0.17,0.97
2026-04-01,603065,8.23,8.19,8.27,8.09,39362,32236772.0,2.21,0.74,0.06,0.94
2026-04-02,603065,8.18,8.15,8.23,8.07,34419,27992999.0,1.95,-0.49,-0.04,0.82
2026-04-03,603065,8.12,7.93,8.15,7.84,40216,31933219.0,3.8,-2.7,-0.22,0.96
2026-04-07,603065,7.95,8.27,8.28,7.88,57229,46767931.0,5.04,4.29,0.34,1.37
2026-04-08,603065,8.29,8.36,8.36,8.23,46048,38332809.0,1.57,1.09,0.09,1.1
2026-04-09,603065,8.33,8.21,8.41,8.11,42566,35119009.0,3.59,-1.79,-0.15,1.02
2026-04-10,603065,8.23,8.25,8.34,8.22,32195,26647097.0,1.46,0.49,0.04,0.77
2026-04-13,603065,8.25,8.14,8.25,8.1,31285,25464754.0,1.82,-1.33,-0.11,0.75
2026-04-14,603065,8.17,8.15,8.18,8.03,30992,25132914.0,1.84,0.12,0.01,0.74
2026-04-15,603065,8.17,8.11,8.2,8.09,24582,20002071.0,1.35,-0.49,-0.04,0.59
2026-04-16,603065,8.13,8.32,8.35,8.08,41060,33804280.0,3.33,2.59,0.21,0.98
2026-04-17,603065,8.31,8.24,8.34,8.18,39395,32382679.0,1.92,-0.96,-0.08,0.94
2026-04-20,603065,8.27,8.2,8.28,8.15,35750,29378977.0,1.58,-0.49,-0.04,0.85
2026-04-21,603065,8.2,8.23,8.26,8.16,32710,26890335.0,1.22,0.37,0.03,0.78
2026-04-22,603065,8.22,8.12,8.22,8.1,30536,24837205.0,1.46,-1.34,-0.11,0.73
2026-04-23,603065,8.12,8.02,8.12,8.0,25348,20409107.0,1.48,-1.23,-0.1,0.61
2026-04-24,603065,8.03,8.13,8.17,7.99,34744,28074849.0,2.24,1.37,0.11,0.83
2026-04-27,603065,8.1,8.16,8.19,7.95,46639,37663149.0,2.95,0.37,0.03,1.11
