code,name,last_price,change_amt,change_pct,买入,卖出,pre_close,open_price,high,low,volume,amount,时间戳,采集时间,数据源,amplitude,volume_ratio,turnover_rate
920000,安徽凤凰,16.51,0.37,2.292,16.51,16.53,16.14,16.15,16.64,16.04,1027975.0,16876381.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920001,纬达光电,15.32,0.17,1.122,15.29,15.32,15.15,15.03,15.48,15.03,1599384.0,24434221.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920002,万达轴承,97.99,10.59,12.117,97.97,97.99,87.4,86.0,102.3,85.45,3500561.0,337378919.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920003,中诚咨询,32.19,0.99,3.173,32.19,32.2,31.2,31.1,32.35,31.01,1060307.0,33784741.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920005,鼎佳精密,36.1,0.62,1.747,36.1,36.12,35.48,35.23,36.31,35.23,426598.0,15328936.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920006,晟楠科技,20.77,0.46,2.265,20.77,20.78,20.31,20.27,20.97,20.15,1186746.0,24482651.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920007,酉立智能,54.12,0.64,1.197,54.11,54.12,53.48,53.81,54.55,53.1,298670.0,16129968.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920008,成电光信,26.8,0.38,1.438,26.78,26.8,26.42,26.4,26.95,26.12,1331261.0,35531487.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920009,丹娜生物,68.01,2.82,4.326,68.01,68.15,65.19,65.5,68.01,64.93,520404.0,34922832.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920010,凯添燃气,13.32,-0.24,-1.77,13.31,13.32,13.56,13.41,14.5,13.29,21049248.0,291563371.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920011,晨光电机,27.51,1.63,6.298,27.51,27.52,25.88,25.46,28.59,25.46,7221577.0,197483694.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920012,创达新材,69.65,2.89,4.329,69.65,69.8,66.76,64.08,69.88,63.0,4776660.0,319194570.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920014,特瑞斯,12.4,0.28,2.31,12.39,12.4,12.12,12.16,12.57,12.14,3015388.0,37304106.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920015,锦华新材,41.2,0.41,1.005,41.18,41.2,40.79,40.5,41.9,39.8,1728649.0,70987438.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920016,中草香料,17.25,0.25,1.471,17.25,17.26,17.0,16.91,17.36,16.83,696920.0,11995604.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920017,星昊医药,18.23,-0.04,-0.219,18.23,18.26,18.27,18.27,18.4,18.11,1661680.0,30359776.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920018,宏远股份,29.4,-0.08,-0.271,29.4,29.41,29.48,29.19,29.78,29.05,1352865.0,39723202.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920019,铜冠矿建,18.88,0.38,2.054,18.88,18.89,18.5,18.38,18.96,18.36,2318007.0,43495496.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920020,泰凯英,16.38,0.21,1.299,16.37,16.38,16.17,16.06,16.56,16.03,1380816.0,22611106.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920021,流金科技,10.54,-0.08,-0.753,10.53,10.54,10.62,10.62,10.96,10.54,29312623.0,314998661.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920022,世昌股份,27.23,0.62,2.33,27.18,27.23,26.61,27.34,27.48,26.62,767459.0,20833826.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920023,*ST田野,2.54,0.01,0.395,2.54,2.55,2.53,2.55,2.57,2.51,8472251.0,21579388.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920026,卓兆点胶,36.05,0.87,2.473,36.04,36.05,35.18,35.48,36.6,34.6,1119566.0,40064218.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920027,交大铁发,19.11,0.31,1.649,19.1,19.11,18.8,18.79,19.25,18.61,2108904.0,39932181.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920028,新恒泰,18.9,2.02,11.967,18.88,18.9,16.88,17.08,19.19,16.9,15403318.0,275908933.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920029,开发科技,70.14,1.08,1.564,70.11,70.14,69.06,69.3,70.2,68.66,935812.0,65204173.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920030,德众汽车,5.83,0.09,1.568,5.82,5.83,5.74,5.76,5.86,5.71,1758885.0,10206891.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920033,康普化学,17.45,0.1,0.576,17.38,17.45,17.35,17.09,17.52,17.04,1281090.0,22124850.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920035,精创电气,32.35,0.36,1.125,32.35,32.36,31.99,31.9,32.97,31.5,1325175.0,43011458.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920036,觅睿科技,51.85,7.6,17.175,51.85,51.87,44.25,45.9,56.8,45.08,5962837.0,309003552.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920037,DR广信科,55.2,-0.76,-1.358,55.2,55.21,55.96,55.95,56.17,54.33,1749118.0,96685187.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
920039,国义招标,9.78,0.23,2.408,9.77,9.78,9.55,9.55,9.81,9.46,1284505.0,12463215.0,15:30:01,2026-05-10 02:49:53,新浪,0,0,0
